Título,Descripción
La menor con una discapacidad mental a la que su tío violó hasta dejarla embarazada: «No entendía lo que me estaba haciendo»,El acusado ha reconocido los hechos y ha aceptado los 13 años y medio de cárcel que solicitaba la Fiscalía por un delito continuado de agresión sexual y el juicio ha quedado visto para sentencia en la Audiencia Provincial de Cantabria
Bridgestone recorta a 232 los despidos en la planta de Basauri y facilitará las prejubilaciones,La empresa se compromete a aumentar en 100.000 cubiertas anuales la producción para salvar la fábrica
Los padres de uno de los cuatro jóvenes muertos en el puerto de Lunada recogen firmaspidiento un quitamiedos,Han iniciado esta campaña a través de Change.org
Juanito Oiarzabal estalla tras la retirada de las clavijas de Cotatuero: «Estamos hartos de tanto ecologista frustrado»,"La acción llevada a cabo por el alpinista Jesús Vallés ha generado gran número de reacciones entre los aficionados a la escalada, entre ellos el montañero gasteiztarra"
El PSOE niega trascendencia a los mensajes de Sánchez a Ábalos: «Mi chat de primos tiene más interés»,Los socialistas descartan de momento interponer denuncia por la filtración pero alegan que debería abrirse una investigación de oficio y acusan al PP de intentar sacar tajada de las conversaciones privadas del jefe del Ejecutivo y el exministro de Transportes
Ancelotti firma como nuevo seleccionador de Brasil,El italiano tomará las riendas de la pentacampeona del mundo tras abandonar el Real Madrid una vez acabe la Liga
Feijóo precipita el congreso del PP el 5 y 6 de julio por la «cuenta atrás» de la legislatura,El líder popular zanja el debate interno y prepara al partido de cara a un posible adelanto electoral
"Música, cultura y una comida popular en Galdakao por el Alboka Eguna","El evento, donde se presentará la biografía del albokalari Mariano Barrenetxea, está organizado por el grupo de danza Andra Mari"
Crítica de 'The Bondsman': cómo eliminar demonios estando muerto,Kevin Bacon se pone en la piel de un cazador de demonios que debe evitar el infierno a base de eliminar monstruos escopeta en mano. Un divertimento que mezcla terror de baja intensidad y comedia negra
«He oído la sirena de escape tóxico y me he ido directo a casa por si acaso»,"El simulacro de alerta química suena en Santurtzi, Zierbena, Muskiz y Abanto ante el desconocimiento de muchos vecinos"
La ABAO cierra la temporada con un 'Otello' que no busca la perfección sino «el amor»,"El Euskalduna acoge la ópera de Verdi, en un montaje tradicional, con Jorge de León, Ermonela Jaho, Claudio Sgura y la Sinfónica de Kiev a las órdenes de Francesco Ivan Ciampa"
Víctimas del terrorismo piden incluir sus testimonios en el currículum educativo vasco,"Damnificados de ETA, el GAL, el yihadismo y la extrema derecha reivindican «la importancia de la transmisión a los jóvenes de un mensaje deslegitimador de la violencia»"
La permanencia del Barakaldo en Primera Federación ya es matemática,"Pese a la derrota de los fabriles ante la Cultural Leonesa, el resto de resultados de la jornada aseguran la continuidad de los gualdinegros"
Andoni Gago se pasa a las artes marciales mixtas,"Su pelea contra AnderFighter, campeón de España de MMA, será cabeza de cartel de la gala organizada en La Casilla por la nueva promotora XTRIKE para el 31 de mayo"
El Cuponazo de la ONCE deja 400.000 euros en Lekeitio,El vendedor Pedro Iglesias ha repartido diez cupones premiados entre su clientela habitual de la plaza Gamarra
Amorebieta concienciará a los vecinos sobre el uso de vehículos de movilidad personal,La localidad
Jorge Martín pone fecha a su salida de Aprilia,"El campeón del mundo, actualmente de baja por lesión, tiene una cláusula que le liberaría de su contrato con la marca italiana a finales de 2025"
Tres años de cárcel para el portero de una discoteca de Bilbao por agredir a un cliente que perdió un testículo,"El Tribunal Superior de Justicia del País Vasco confirma la condena al empleado del establecimiento que asestó varios rodillazos a la víctima, un joven de 19 años"
La calculadora: ¿qué debe ocurrir para que el Athletic se clasifique para la Champions el jueves?,Estos son los resultados que darían a los rojiblancos el pasaporte para la competición europea
El Papa pide a los periodistas que «desarmen las palabras y contribuyan a desarmar la Tierra»,"En su primera audiencia multitudinaria, León XIV recibe a los más de 4.000 informadores que han seguido su elección como obispo de Roma y reconoce que está pensando en viajar a Nicea para la conmemoración del concilio"
"Velvet, la nueva discoteca de Bilbao, llena a reventar en su estreno",La sala de los dueños del Moma atrae a todo tipo de público con los tardeos y la noche
Hospitalizada una mujer tras un ataque con gas pimienta en una discoteca de Irún,"La discoteca Saroia de Irun tuvo que ser desalojada este domingo sobre las 5.30 horas, en un incidente con varios clientes afectados por la inhalación del gas"
La peña Óscar de Marcos de Sevilla se queja por los precios de las entradas para despedir al capitán: «La subida es exorbitada»,La peña rojiblanca de Dos Hermanas lamenta no poder acudir al partido contra el Barça y denuncia el coste de las localidades y que el club obliga a comprar todas las que se pidan sin conocer cuánto cuestan
La jueza de la dana rechaza que declare como testigo la periodista que comió con Mazón en El Ventorro,La instructora considera que no se puede desviar el foco de la investigación hacia la actuación del presidente de la Generalitat
Apnabi traerá en 2028 a Bilbao el mayor congreso internacional de autismo,Esperan reunir a 2.500 personas en el Palacio Euskalduna tras ganar a las candidaturas de Copenhague (Dinamarca) y Sofía (Bulgaria)
Condenan a un abogado de Bilbao que se quedó con la casa de una anciana,Se aprovechó de una mujer sin familia y que acababa de perder a su marido para que le dejase todos sus bienes a él y a su pareja
«Exigimos el desalojo del aeropuerto en semanas»,El sindicato ASAE entrega al Defensor del Pueblo la carta en la que denuncia la situación de Barajas. «Queremos que medie porque las instituciones no se ponen de acuerdo»
Euskadi cierra abril con 368 empresas menos de las que tenía hace un año,La comunidad solo ha recuperado el 31% de las compañías que se perdieron durante la pandemia
Un pederasta que ofrecía en redes a una niña para violarla en grupo se enfrenta a 107 años de prisión,"La Fiscalía acusa a un hombre de agredir sexualmente a una menor de 12 años, con la que grababa pornografía infantil. La niña vivía bajo la custodia de las autoridades de Cataluña en un centro de menores"
